name,cost,potion,action,attack,reaction,duration,treasure,victory
抑留,2,0,1,0,0,0,0,0
停泊所,2,0,1,0,0,1,0,0
灯台,2,0,1,0,0,1,0,0
原住民の村,2,0,1,0,0,0,0,0
真珠採り,2,0,1,0,0,0,0,0
大使,3,0,1,1,0,0,0,0
漁村,3,0,1,0,0,1,0,0
見張り,3,0,1,0,0,0,0,0
密輸人,3,0,1,0,0,0,0,0
倉庫,3,0,1,0,0,0,0,0
隊商,4,0,1,0,0,1,0,0
巾着切り,4,0,1,1,0,0,0,0
島,4,0,1,0,0,0,0,1
航海士,4,0,1,0,0,0,0,0
海賊船,4,0,1,1,0,0,0,0
引揚水夫,4,0,1,0,0,0,0,0
海の妖婆,4,0,1,1,0,0,0,0
宝の地図,4,0,1,0,0,0,0,0
バザー,5,0,1,0,0,0,0,0
探検家,5,0,1,0,0,0,0,0
幽霊船,5,0,1,1,0,0,0,0
商船,5,0,1,0,0,1,0,0
前哨地,5,0,1,0,0,1,0,0
策士,5,0,1,0,0,1,0,0
宝物庫,5,0,1,0,0,0,0,0
船着場,5,0,1,0,0,1,0,0
