ex,edition,name,cost,potion,action,attack,reaction,duration,command,treasure,victory,types
Seaside,***,Embargo,2,0,1,0,0,0,0,0,0,
Seaside,***,Haven,2,0,1,0,0,1,0,0,0,
Seaside,***,Lighthouse,2,0,1,0,0,1,0,0,0,
Seaside,***,Native Village,2,0,1,0,0,0,0,0,0,
Seaside,***,Pearl Diver,2,0,1,0,0,0,0,0,0,
Seaside,***,Ambassador,3,0,1,1,0,0,0,0,0,
Seaside,***,Fishing Village,3,0,1,0,0,1,0,0,0,
Seaside,***,Lookout,3,0,1,0,0,0,0,0,0,
Seaside,***,Smugglers,3,0,1,0,0,0,0,0,0,
Seaside,***,Warehouse,3,0,1,0,0,0,0,0,0,
Seaside,***,Caravan,4,0,1,0,0,1,0,0,0,
Seaside,***,Cutpurse,4,0,1,1,0,0,0,0,0,
Seaside,***,Island,4,0,1,0,0,0,0,0,1,
Seaside,***,Navigator,4,0,1,0,0,0,0,0,0,
Seaside,***,Pirate Ship,4,0,1,1,0,0,0,0,0,
Seaside,***,Salvager,4,0,1,0,0,0,0,0,0,
Seaside,***,Sea Hag,4,0,1,1,0,0,0,0,0,
Seaside,***,Treasure Map,4,0,1,0,0,0,0,0,0,
Seaside,***,Bazaar,5,0,1,0,0,0,0,0,0,
Seaside,***,Explorer,5,0,1,0,0,0,0,0,0,
Seaside,***,Ghost Ship,5,0,1,1,0,0,0,0,0,
Seaside,***,Merchant Ship,5,0,1,0,0,1,0,0,0,
Seaside,***,Outpost,5,0,1,0,0,1,0,0,0,
Seaside,***,Tactician,5,0,1,0,0,1,0,0,0,
Seaside,***,Treasury,5,0,1,0,0,0,0,0,0,
Seaside,***,Wharf,5,0,1,0,0,1,0,0,0,
