ex,edition,name,cost,potion,action,attack,reaction,duration,command,treasure,victory,types
Prosperity,***,Loan,3,0,0,0,0,0,0,1,0,
Prosperity,***,Trade Route,3,0,1,0,0,0,0,0,0,
Prosperity,***,Watchtower,3,0,1,0,1,0,0,0,0,
Prosperity,***,Bishop,4,0,1,0,0,0,0,0,0,
Prosperity,***,Monument,4,0,1,0,0,0,0,0,0,
Prosperity,***,Quarry,4,0,0,0,0,0,0,1,0,
Prosperity,***,Talisman,4,0,0,0,0,0,0,1,0,
Prosperity,***,Worker's Village,4,0,1,0,0,0,0,0,0,
Prosperity,***,City,5,0,1,0,0,0,0,0,0,
Prosperity,***,Contraband,5,0,0,0,0,0,0,1,0,
Prosperity,***,Counting House,5,0,1,0,0,0,0,0,0,
Prosperity,***,Mint,5,0,1,0,0,0,0,0,0,
Prosperity,***,Mountebank,5,0,1,1,0,0,0,0,0,
Prosperity,***,Rabble,5,0,1,1,0,0,0,0,0,
Prosperity,***,Royal Seal,5,0,0,0,0,0,0,1,0,
Prosperity,***,Vault,5,0,1,0,0,0,0,0,0,
Prosperity,***,Venture,5,0,0,0,0,0,0,1,0,
Prosperity,***,Goons,6,0,1,1,0,0,0,0,0,
Prosperity,***,Grand Market,6,0,1,0,0,0,0,0,0,
Prosperity,***,Hoard,6,0,0,0,0,0,0,1,0,
Prosperity,***,Bank,7,0,0,0,0,0,0,1,0,
Prosperity,***,Expand,7,0,1,0,0,0,0,0,0,
Prosperity,***,Forge,7,0,1,0,0,0,0,0,0,
Prosperity,***,King's Court,7,0,1,0,0,0,0,0,0,
Prosperity,***,Peddler,8,0,1,0,0,0,0,0,0,
