ex,edition,name,cost,potion,action,attack,reaction,duration,command,treasure,victory,types
Cornucopia,***,Hamlet,2,0,1,0,0,0,0,0,0,
Cornucopia,***,Fortune Teller,3,0,1,1,0,0,0,0,0,
Cornucopia,***,Menagerie,3,0,1,0,0,0,0,0,0,
Cornucopia,***,Farming Village,4,0,1,0,0,0,0,0,0,
Cornucopia,***,Horse Traders,4,0,1,0,1,0,0,0,0,
Cornucopia,***,Remake,4,0,1,0,0,0,0,0,0,
Cornucopia,***,Tournament,4,0,1,0,0,0,0,0,0,
Cornucopia,***,Young Witch,4,0,1,1,0,0,0,0,0,
Cornucopia,***,Harvest,5,0,1,0,0,0,0,0,0,
Cornucopia,***,Horn of Plenty,5,0,0,0,0,0,0,1,0,
Cornucopia,***,Hunting Party,5,0,1,0,0,0,0,0,0,
Cornucopia,***,Jester,5,0,1,1,0,0,0,0,0,
Cornucopia,***,Fairgrounds,6,0,0,0,0,0,0,0,1,
