ex,edition,name,cost,potion,action,attack,reaction,duration,command,treasure,victory,types
Hinterlands,***,Crossroads,2,0,1,0,0,0,0,0,0,
Hinterlands,***,Duchess,2,0,1,0,0,0,0,0,0,
Hinterlands,***,Fool's Gold,2,0,0,0,1,0,0,1,0,
Hinterlands,***,Develop,3,0,1,0,0,0,0,0,0,
Hinterlands,***,Oasis,3,0,1,0,0,0,0,0,0,
Hinterlands,***,Oracle,3,0,1,1,0,0,0,0,0,
Hinterlands,***,Scheme,3,0,1,0,0,0,0,0,0,
Hinterlands,***,Tunnel,3,0,0,0,1,0,0,0,1,
Hinterlands,***,Jack of All Trades,4,0,1,0,0,0,0,0,0,
Hinterlands,***,Noble Brigand,4,0,1,1,0,0,0,0,0,
Hinterlands,***,Nomad Camp,4,0,1,0,0,0,0,0,0,
Hinterlands,***,Silk Road,4,0,0,0,0,0,0,0,1,
Hinterlands,***,Spice Merchant,4,0,1,0,0,0,0,0,0,
Hinterlands,***,Trader,4,0,1,0,1,0,0,0,0,
Hinterlands,***,Cache,5,0,0,0,0,0,0,1,0,
Hinterlands,***,Cartographer,5,0,1,0,0,0,0,0,0,
Hinterlands,***,Embassy,5,0,1,0,0,0,0,0,0,
Hinterlands,***,Haggler,5,0,1,0,0,0,0,0,0,
Hinterlands,***,Highway,5,0,1,0,0,0,0,0,0,
Hinterlands,***,Ill-Gotten Gains,5,0,0,0,0,0,0,1,0,
Hinterlands,***,Inn,5,0,1,0,0,0,0,0,0,
Hinterlands,***,Mandarin,5,0,1,0,0,0,0,0,0,
Hinterlands,***,Margrave,5,0,1,1,0,0,0,0,0,
Hinterlands,***,Stables,5,0,1,0,0,0,0,0,0,
Hinterlands,***,Border Village,6,0,1,0,0,0,0,0,0,
Hinterlands,***,Farmland,6,0,0,0,0,0,0,0,1,
