ex,edition,name,cost,potion,action,attack,reaction,duration,command,treasure,victory,types
Guilds,***,Candlestick Maker,2,0,1,0,0,0,0,0,0,
Guilds,***,Stonemason,2,0,1,0,0,0,0,0,0,
Guilds,***,Doctor,3,0,1,0,0,0,0,0,0,
Guilds,***,Masterpiece,3,0,0,0,0,0,0,1,0,
Guilds,***,Advisor,4,0,1,0,0,0,0,0,0,
Guilds,***,Plaza,4,0,1,0,0,0,0,0,0,
Guilds,***,Taxman,4,0,1,1,0,0,0,0,0,
Guilds,***,Herald,4,0,1,0,0,0,0,0,0,
Guilds,***,Baker,5,0,1,0,0,0,0,0,0,
Guilds,***,Butcher,5,0,1,0,0,0,0,0,0,
Guilds,***,Journeyman,5,0,1,0,0,0,0,0,0,
Guilds,***,Merchant Guild,5,0,1,0,0,0,0,0,0,
Guilds,***,Soothsayer,5,0,1,1,0,0,0,0,0,
