カード名,コスト,ポーション,アクション,アタック,リアクション,持続,財宝,勝利点
地下貯蔵庫,2,0,1,0,0,0,0,0
礼拝堂,2,0,1,0,0,0,0,0
堀,2,0,1,0,1,0,0,0
家臣,3,0,1,0,0,0,0,0
工房,3,0,1,0,0,0,0,0
商人,3,0,1,0,0,0,0,0
前駆者,3,0,1,0,0,0,0,0
村,3,0,1,0,0,0,0,0
改築,4,0,1,0,0,0,0,0
鍛冶屋,4,0,1,0,0,0,0,0
金貸し,4,0,1,0,0,0,0,0
玉座の間,4,0,1,0,0,0,0,0
密猟者,4,0,1,0,0,0,0,0
民兵,4,0,1,1,0,0,0,0
役人,4,0,1,1,0,0,0,0
庭園,4,0,0,0,0,0,0,1
市場,5,0,1,0,0,0,0,0
衛兵,5,0,1,0,0,0,0,0
議事堂,5,0,1,0,0,0,0,0
研究所,5,0,1,0,0,0,0,0
鉱山,5,0,1,0,0,0,0,0
祝祭,5,0,1,0,0,0,0,0
書庫,5,0,1,0,0,0,0,0
山賊,5,0,1,1,0,0,0,0
魔女,5,0,1,1,0,0,0,0
職人,6,0,1,0,0,0,0,0
