English,Japanese
Poor House,救貧院
Beggar,物乞い
Squire,従者
Vagrant,浮浪者
Forager,採集者
Hermit,隠遁者
Market Square,青空市場
Sage,賢者
Storeroom,物置
Urchin,浮浪児
Armory,武器庫
Death Cart,死の荷車
Feodum,封土
Fortress,城塞
Ironmonger,金物商
Marauder,襲撃者
Procession,行進
Rats,ネズミ
Scavenger,ゴミあさり
Wandering Minstrel,吟遊詩人
Band of Misfits,はみだし者
Bandit Camp,山賊の宿営地
Catacombs,地下墓所
Count,伯爵
Counterfeit,偽造通貨
Cultist,狂信者
Graverobber,墓暴き
Junk Dealer,屑屋
Knights,騎士
Mystic,秘術師
Pillage,略奪
Rebuild,建て直し
Rogue,盗賊
Altar,祭壇
Hunting Grounds,狩場
Abandoned Mine,廃坑
Ruined Library,図書館跡地
Ruined Market,市場跡地
Ruined Village,廃村
Survivors,生存者
Madman,狂人
Mercenary,傭兵
Spoils,略奪品
Hovel,納屋
Necropolis,共同墓地
Overgrown Estate,草茂る屋
Dame Anna,デイム・アンナ
Dame Josephine,デイム・ジョセフィーヌ
Dame Molly,デイム・モリー
Dame Natalie,デイム・ナタリー
Dame Sylvia,デイム・シルビア
Sir Bailey,サー・ベイリー
Sir Destry,サー・デストリー
Sir Martin,サー・マーチン
Sir Michael,サー・マイケル
Sir Vander,サー・ヴァンデル
