English,Japanese
Coin of the Realm,法貨
Page,騎士見習い
Peasant,農民
Ratcatcher,鼠取り
Raze,倒壊
Amulet,魔除け
Caravan Guard,隊商の護衛
Dungeon,地下牢
Gear,道具
Guide,案内人
Duplicate,複製
Magpie,カササギ
Messenger,使者
Miser,守銭奴
Port,港町
Ranger,山守
Transmogrify,変容
Artificer,工匠
Bridge Troll,橋の下のトロル
Distant Lands,遠隔地
Giant,巨人
Haunted Woods,呪いの森
Lost City,失われし都市
Relic,遺物
Royal Carriage,御料車
Storyteller,語り部
Swamp Hag,沼の妖婆
Treasure Trove,掘出物
Wine Merchant,ワイン商
Hireling,雇人
Treasure Hunter,トレジャーハンター
Warrior,ウォリアー
Hero,ヒーロー
Champion,チャンピオン
Soldier,兵士
Fugitive,脱走兵
Disciple,門下生
Teacher,教師
