English,Japanese
Druid,ドルイド
Faithful Hound,忠犬
Guardian,守護者
Monastery,修道院
Pixie,ピクシー
Tracker,追跡者
Changeling,取り替え子
Fool,愚者
Ghost Town,ゴーストタウン
Leprechaun,レプラコーン
Night Watchman,夜警
Secret Cave,秘密の洞窟
Bard,詩人
Blessed Village,恵みの村
Cemetery,墓地
Conclave,コンクラーベ
Devil's Workshop,悪魔の工房
Exorcist,悪魔祓い
Necromancer,ネクロマンサー
Shepherd,羊飼い
Skulk,暗躍者
Cobbler,カブラー
Crypt,納骨堂
Cursed Village,呪われた村
Den of Sin,悪人のアジト
Idol,偶像
Pooka,プーカ
Sacred Grove,聖なる木立ち
Tormentor,迫害者
Tragic Hero,悲劇のヒーロー
Vampire,吸血鬼
Werewolf,人狼
Raider,夜襲
Haunted Mirror,呪いの鏡
Magic Lamp,魔法のランプ
Goat,ヤギ
Pasture,牧草地
Pouch,革袋
Cursed Gold,呪われた金貨
Lucky Coin,幸福のコイン
Will-o'-Wisp,ウィル・オ・ウィスプ
Wish,願い
Bat,コウモリ
Imp,インプ
Zombie Apprentice,ゾンビの弟子
Zombie Mason,ゾンビの石工
Zombie Spy,ゾンビの密偵
Ghost,幽霊
The Earth's Gift,大地の恵み
The Field's Gift,田畑の恵み
The Flame's Gift,炎の恵み
The Forest's Gift,森の恵み
The Moon's Gift,月の恵み
The Mountain's Gift,山の恵み
The River's Gift,川の恵み
The Sea's Gift,海の恵み
The Sky's Gift,空の恵み
The Sun's Gift,太陽の恵み
The Swamp's Gift,沼の恵み
The Wind's Gift,風の恵み
Bad Omens,凶兆
Delusion,幻惑
Envy,羨望
Famine,飢饉
Fear,恐怖
Greed,貪欲
Haunting,憑依
Locusts,蝗害
Misery,みじめな生活
Plague,疫病
Poverty,貧困
War,戦争
Lost in the Woods,森の迷子
Deluded,錯乱
Envious,嫉妬
Miserable,生活苦
Twice Miserable,二重苦
